"Class","REGION_CENTROID_COL","REGION_CENTROID_ROW","SHORT_LINE_DENSITY_5","VEDGE_MEAN","VEDGE_SD","HEDGE_MEAN","HEDGE_SD","INTENSITY_MEAN","RAWRED_MEAN","RAWBLUE_MEAN","RAWGREEN_MEAN","EXRED_MEAN","EXBLUE_MEAN","EXGREEN_MEAN","VALUE_MEAN","SATURATION_MEAN","HUE_MEAN"
"1","BRICKFACE",0.207173378423598,0.0385770428919457,-0.286498677816793,-0.521609929041776,-0.130048140100154,-0.403805303557041,-0.116308274003603,-0.79907143988854,-0.72127138779854,-0.829697612800794,-0.829495700751149,1.36806523591328,-0.869630632073311,0.0455833073796002,-0.858342222226917,0.538437073651791,0.140168247165397
"2","BRICKFACE",0.854911484661148,0.176176686328185,-0.286498677816793,-0.504019137120832,-0.125364858838967,-0.438540076993629,-0.118704139993706,-0.786622713000088,-0.693134509753701,-0.827161084942354,-0.820500553348962,1.5026335364437,-0.928852502845774,0.00519306264948562,-0.842922666586439,0.50740484141644,0.266499052106926
"3","BRICKFACE",-0.265135657374616,0.279376418905364,-0.286498677816793,-0.521609954372569,-0.129026333835487,-0.369070582222586,-0.114140588101194,-0.800986626651759,-0.715018763239348,-0.839843710537313,-0.829495700751149,1.44496142371075,-0.928852502845774,0.0657784751837283,-0.863482073336099,0.481221524683419,0.240124525074202
"4","BRICKFACE",-1.22324827285099,0.244976508046305,-0.286498677816793,-0.451246590375148,-0.127663924118486,-0.311179327896362,-0.114634971185747,-0.807689780323028,-0.708766121798037,-0.857599387283406,-0.835492470183515,1.56991767805809,-1.01176309740937,0.0758760545418852,-0.858342222226917,0.661596457029413,0.382277552977365
"5","BRICKFACE",-1.15577555345125,-0.202222333121473,-0.286498677816793,-0.380883324534549,-0.122895492385056,-0.357492310516488,-0.115091328814673,-0.802901813414979,-0.73065034714682,-0.829697612800794,-0.832494086816605,1.32000512610933,-0.84594189762224,0.0556808958255713,-0.855772294359395,0.614466143801433,0.105568969877397
"6","BRICKFACE",-1.46615006269008,0.0901769091805355,-0.286498677816793,-0.45124665370213,-0.129707539222773,-0.403805303557041,-0.116308274003603,-0.81535054547444,-0.733776662240102,-0.852526345263765,-0.841489234218791,1.41612534571724,-0.928852502845774,0.0960711587313142,-0.873761763989807,0.608259838116842,0.227385746600865
"7","BRICKFACE",-1.33120462389059,-0.959020372020789,3.47379646852862,-0.292929197113326,-0.111059534440551,-0.033301202926215,-0.0867973094304175,-0.441888746577404,-0.377376403963527,-0.413707347638813,-0.532655733934261,0.954748322742225,-0.16489060226756,-0.721832160395851,-0.439444664448419,0.0603034420686881,-0.181354301431596
"8","BRICKFACE",-1.49313915044997,-0.219422288551003,-0.286498677816793,-0.0642483701944019,-0.0084531763042228,0.0130117588530574,-0.10900658438764,-0.49551402765765,-0.396134266386358,-0.515168393490206,-0.562639540617915,1.32000512610933,-0.543910470743971,-0.459295297015682,-0.542241617244127,-0.239216591677718,-0.00301286490062473
"9","BRICKFACE",-1.53362278208982,-0.253822199410063,-0.286498677816793,-0.187384173281638,-0.113103174512684,-0.25328806314971,-0.10972915563053,-0.502217207183966,-0.393007979429939,-0.522778009025751,-0.577631470945195,1.41612534571724,-0.555754829974556,-0.540075786475911,-0.549951426288936,-0.151644162456245,0.0245375718695727
"10","BRICKFACE",-0.535026534973596,-0.374221887416772,-0.286498677816793,-0.187384204945129,-0.101863324821531,-0.2764445648802,-0.10699102679916,-0.408372926510965,-0.330481649427425,-0.393415138468534,-0.49667511194297,1.05086854061997,-0.230034578035778,-0.71173441745704,-0.418885273889278,-0.0811056647727234,-0.139926331637962
"11","BRICKFACE",-1.43916097493018,0.382576151482544,-0.286498677816793,-0.486428288205604,-0.131069948387999,-0.415383575263139,-0.115661771230235,-0.857484687876835,-0.771292491192161,-0.913402961360235,-0.865476303852623,1.49302152486389,-1.09467369623695,0.298022609577241,-0.909740696311839,0.779907188834352,0.493429944448367
"12","BRICKFACE",-1.37168825553043,-1.16541983717515,-0.286498677816793,0.0940688330864719,-0.0470263793141847,-0.172240380035983,-0.111440485649571,-0.352832458667499,-0.317976360917431,-0.294490684396032,-0.451699374932036,0.608715551185558,0.119374339064501,-0.843002894586195,-0.318658311410234,0.0520821214943122,-0.27623726102536
"13","BRICKFACE",0.96286783570074,0.107376864610065,-0.286498677816793,-0.34570170902917,-0.121533085288989,-0.403805313977467,-0.117677340729586,-0.795241053434577,-0.705639798263696,-0.837307182678873,-0.823498936715872,1.47379745845018,-0.946619057681553,0.0657784751837283,-0.848062531573208,0.514193199952533,0.261391118033957
"14","BRICKFACE",-0.602499254373341,-0.116222555973823,-0.286498677816793,-0.134611740524522,-0.0939443171085871,-0.218553258451841,-0.110527775731075,-0.397839425168303,-0.330481649427425,-0.375659498248414,-0.484681562284055,0.945136311162417,-0.170812781882853,-0.701636856274511,-0.400895850517488,-0.069791792530267,-0.187151639297057
"15","BRICKFACE",-1.65507367700936,-1.35461934689998,-0.286498677816793,0.0764783704658378,-0.0765736207711155,-0.0448793600076185,-0.103796547629139,-0.474446973262233,-0.439902733966041,-0.42892655588117,-0.556642779281184,0.704835770793466,-0.0701355685238701,-0.620856366814282,-0.454864259408726,0.151544889298851,-0.265054986071094
"16","BRICKFACE",-0.0627174991753819,0.227776552616775,-0.286498677816793,-0.416064981202467,-0.121873683499455,-0.334335787945144,-0.114939209536578,-0.79715625312532,-0.708766121798037,-0.839843710537313,-0.823498936715872,1.46418542956873,-0.952541247956779,0.0859735793731573,-0.853202373430666,0.467644675646407,0.266634167708919
"17","BRICKFACE",0.288140641703291,0.0213770874624158,-0.286498677816793,-0.451246685365622,-0.127663926187645,-0.461696609985399,-0.118399903080394,-0.802901813414979,-0.718145067077885,-0.837307182678873,-0.835492470183515,1.43534939482931,-0.899241578119477,0.025388185014543,-0.860912147781508,0.616987639686698,0.20242793903917
"18","BRICKFACE",-1.37168825553043,-0.649421174289251,-0.286498677816793,-0.15220255144356,-0.107312927456271,-0.172240234150008,-0.109615065915258,-0.49455643427604,-0.396134266386358,-0.505022277490701,-0.571634709608464,1.3103931058787,-0.478766388376414,-0.560270908840968,-0.5319619103999,-0.103278922402911,-0.0297996131543872
"19","BRICKFACE",0.1801842906637,-0.116222555973823,-0.286498677816793,-0.416065000200562,-0.128004527156989,-0.450118317438447,-0.117373103713594,-0.791410677322632,-0.715018763239348,-0.817014984922961,-0.826497317384238,1.34884120410285,-0.828175342786461,-0.00490458941118459,-0.845492587515168,0.597980482119975,0.0957590769820965
"20","BRICKFACE",1.40818778373906,0.0213770874624158,-0.286498677816793,-0.328110818951403,-0.129792691557258,-0.357492310516488,-0.11600403832245,-0.806732186941418,-0.727524032053537,-0.842380240678626,-0.832494086816605,1.38728928502535,-0.911085942680029,0.0960711587313142,-0.863482073336099,0.539407015110046,0.19413471396671
"21","BRICKFACE",-1.38518279941038,-0.116222555973823,-0.286498677816793,-0.486428354698936,-0.129026334433244,-0.473274850430217,-0.118133695483474,-0.813435350954706,-0.736902985774444,-0.844916763971319,-0.841489234218791,1.36806523591328,-0.887397208228958,0.0758760545418852,-0.868621910567694,0.669354713035487,0.154400915548984
"22","BRICKFACE",-0.0492229552954329,-1.0794200600275,-0.286498677816793,0.111659928976932,-0.0779360145326053,0.0593247831548908,-0.0899917896272379,-0.267606595994127,-0.23356576898821,-0.200639254080183,-0.376739750281088,0.531819389340542,0.249662450499946,-0.984368842019738,-0.223571167659336,-0.00409099333901472,-0.279411419576581
"23","BRICKFACE",-1.23674281673094,0.451375973200664,-0.286498677816793,-0.4336558111196,-0.125705467395226,-0.392227058944052,-0.117943549004193,-0.818223315277251,-0.811934623982758,-0.806868868923455,-0.829495700751149,0.724059819905539,-0.591287907666312,0.247534758225527,-0.837782824728982,0.682296327396822,-0.413815083546581
"24","BRICKFACE",-0.602499254373341,-0.477421619993952,-0.286498677816793,-0.222565858446698,-0.108334737721311,-0.345914153435084,-0.113836355295079,-0.405500146366135,-0.327355278060414,-0.395951707418693,-0.487679942952421,1.05086854061997,-0.265567709027203,-0.651149050361868,-0.42145524107663,-0.144256419688397,-0.145523400863165
"25","BRICKFACE",-0.386586552294157,-0.666621129718781,-0.286498677816793,-0.134611613870556,-0.102118769341063,-0.206975122211291,-0.0960384664998757,-0.34229893146979,-0.2648289480579,-0.319855917322964,-0.439705825273121,0.993196412315552,-0.123435238361173,-0.832905333403666,-0.344357520697521,-0.107503600298253,-0.165748866227008
"26","BRICKFACE",0.274646097823342,-0.357021931987242,-0.286498677816793,-0.328110926607274,-0.117530988723502,0.00143347672653208,-0.104252885954239,-0.362408418338644,-0.3054711005443,-0.324928941079619,-0.457696109283314,0.820180039513447,-0.0346025441317848,-0.802612558977939,-0.349497339425667,-0.0240512008664894,-0.221265795783409
